Murder,Rape,Kidnap,Dacoity/theft,Fraud,Sexual_harassment,Offences_against_state,Blocks,Villages,Clusters,Total_population,Urban_population,Sex_ratio,Overall_literacy,Female_lit,Male_lit,Area_sqkm,Total_crimes
60,102,60,434,34,258,11,6,432,110,2159130.0,48.77,938.0,74.4,65.97,82.35,14184.0,3777
28,63,70,261,19,339,4,10,521,100,2742291.0,25.49,952.0,76.88,67.59,85.8,8831.0,2517
43,36,80,243,40,115,3,10,558,179,2298934.0,14.0,937.0,84.31,74.67,93.4,3953.0,3608
28,30,25,92,6,111,0,6,648,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051
51,27,29,230,2,113,4,5,402,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310
15,24,15,55,3,36,0,5,651,84,590379.0,34.07,960.0,73.29,63.62,82.6,2817.0,677
30,45,37,379,26,88,10,6,399,103,1330711.0,37.23,961.0,84.78,79.3,90.06,2246.0,1714
32,75,53,385,45,190,2,9,679,109,1342746.0,25.35,935.0,73.47,62.01,84.28,5792.0,2151
16,24,20,98,19,113,2,3,163,48,586062.0,33.05,947.0,76.63,68.32,84.56,2316.0,918
82,66,44,343,15,125,3,10,602,124,1755873.0,58.12,929.0,73.19,62.2,83.47,10423.0,2493
15,45,13,151,17,118,0,7,556,81,806489.0,46.06,1004.0,69.23,61.69,76.86,3139.0,1003
56,78,111,835,84,110,6,6,486,135,1703068.0,9.79,926.0,80.94,74.96,86.48,3008.0,3052
111,142,102,1283,153,231,7,10,531,116,1629109.0,19.8,884.0,76.74,64.8,87.39,4778.0,4673
108,307,384,2538,157,432,16,2,211,33,1798954.0,79.44,871.0,83.04,75.17,89.94,741.0,5994
35,82,39,538,65,219,2,6,284,60,941522.0,19.04,903.0,69.13,59.29,78.1,2538.0,2472
155,364,348,5687,440,464,31,4,325,81,1514085.0,68.82,853.0,84.44,77.64,90.27,1258.0,11528
